wl	n
22.7273	1.928
23.2558	2.279
23.8095	2.583
24.3902	2.598
25.0000	2.527
25.6410	2.278
26.3158	2.109
27.0270	2.006
27.7778	1.922
28.5714	1.754
29.4118	2.403
30.3030	2.549
31.2500	2.462
32.2581	2.324
33.3333	2.210
34.4828	2.054
35.7143	2.052
37.0370	2.641
38.4615	2.609
40.0000	2.423
41.6667	2.368
43.4783	2.343
45.4545	2.301
47.6190	2.212
50.0000	2.077
52.6316	2.339
55.5556	2.382
58.8235	2.368
62.5000	2.315
66.6667	2.286
71.4286	2.286
76.9231	2.304
83.3333	2.372
90.9091	2.396
100.0000	2.362
111.1111	2.320
125.0000	2.286
142.8571	2.253
166.6667	2.253
200.0000	2.287

wl	k
2.5000	0.000
2.5063	0.000
2.5126	0.003
2.5189	0.001
2.5253	0.005
2.5316	0.005
2.5381	0.003
2.5445	0.006
2.5510	0.003
2.5575	0.006
2.5641	0.005
2.5707	0.005
2.5773	0.008
2.5840	0.008
2.5907	0.010
2.5974	0.010
2.6042	0.008
2.6110	0.010
2.6178	0.010
2.6247	0.012
2.6316	0.008
2.6385	0.007
2.6455	0.008
2.6525	0.009
2.6596	0.010
2.6667	0.011
2.6738	0.005
2.6810	0.012
2.6882	0.008
2.6954	0.019
2.7027	0.049
2.7100	0.067
2.7174	0.059
2.7248	0.056
2.7322	0.063
2.7397	0.061
2.7473	0.058
2.7548	0.077
2.7624	0.123
2.7701	0.048
2.7778	0.040
2.7855	0.035
2.7933	0.032
2.8011	0.032
2.8090	0.034
2.8169	0.035
2.8249	0.033
2.8329	0.034
2.8409	0.032
2.8490	0.034
2.8571	0.033
2.8653	0.034
2.8736	0.035
2.8818	0.036
2.8902	0.036
2.8986	0.036
2.9070	0.037
2.9155	0.037
2.9240	0.037
2.9326	0.037
2.9412	0.037
2.9499	0.038
2.9586	0.038
2.9674	0.038
2.9762	0.038
2.9851	0.038
2.9940	0.040
3.0030	0.039
3.0120	0.040
3.0211	0.040
3.0303	0.040
3.0395	0.041
3.0488	0.041
3.0581	0.041
3.0675	0.041
3.0769	0.042
3.0864	0.042
3.0960	0.042
3.1056	0.043
3.1153	0.043
3.1250	0.043
3.1348	0.043
3.1447	0.044
3.1546	0.044
3.1646	0.044
3.1746	0.044
3.1847	0.044
3.1949	0.044
3.2051	0.045
3.2154	0.045
3.2258	0.046
3.2362	0.046
3.2468	0.046
3.2573	0.046
3.2680	0.047
3.2787	0.048
3.2895	0.048
3.3003	0.048
3.3113	0.048
3.3223	0.049
3.3333	0.049
3.3445	0.049
3.3557	0.049
3.3670	0.049
3.3784	0.049
3.3898	0.050
3.4014	0.050
3.4130	0.050
3.4247	0.050
3.4364	0.051
3.4483	0.051
3.4602	0.051
3.4722	0.051
3.4843	0.052
3.4965	0.052
3.5088	0.052
3.5211	0.052
3.5336	0.052
3.5461	0.053
3.5587	0.053
3.5714	0.053
3.5842	0.053
3.5971	0.053
3.6101	0.053
3.6232	0.053
3.6364	0.053
3.6496	0.053
3.6630	0.053
3.6765	0.054
3.6900	0.054
3.7037	0.054
3.7175	0.054
3.7313	0.055
3.7453	0.055
3.7594	0.055
3.7736	0.055
3.7879	0.055
3.8023	0.055
3.8168	0.055
3.8314	0.055
3.8462	0.054
3.8610	0.055
3.8760	0.055
3.8911	0.055
3.9063	0.055
3.9216	0.055
3.9370	0.055
3.9526	0.055
3.9683	0.055
3.9841	0.055
